Region, subregion, country or area *,Type,Year,Population Density, as of 1 July (persons per square km)_transformed,Median Age, as of 1 July (years)_transformed,Natural Change, Births minus Deaths (thousands)_transformed,Rate of Natural Change (per 1,000 population)_transformed,Population Change (thousands)_transformed,Population Growth Rate (percentage)_transformed,Population Annual Doubling Time (years)_transformed,Births (thousands)_transformed,Births by women aged 15 to 19 (thousands)_transformed,Crude Birth Rate (births per 1,000 population)_transformed,Total Fertility Rate (live births per woman)_transformed,Net Reproduction Rate (surviving daughters per woman)_transformed,Total Deaths (thousands)_transformed,Male Deaths (thousands)_transformed,Female Deaths (thousands)_transformed,Crude Death Rate (deaths per 1,000 population)_transformed,Life Expectancy at Birth, both sexes (years)_transformed,Male Life Expectancy at Birth (years)_transformed,Female Life Expectancy at Birth (years)_transformed,Life Expectancy at Age 15, both sexes (years)_transformed,Male Life Expectancy at Age 15 (years)_transformed,Female Life Expectancy at Age 15 (years)_transformed,Life Expectancy at Age 65, both sexes (years)_transformed,Male Life Expectancy at Age 65 (years)_transformed,Female Life Expectancy at Age 65 (years)_transformed,Life Expectancy at Age 80, both sexes (years)_transformed,Male Life Expectancy at Age 80 (years)_transformed,Female Life Expectancy at Age 80 (years)_transformed,Infant Deaths, under age 1 (thousands)_transformed,Infant Mortality Rate (infant deaths per 1,000 live births)_transformed,Live Births Surviving to Age 1 (thousands)_transformed,Under-Five Deaths, under age 5 (thousands)_transformed
Mozambique,Country/Area,2022,13.692375,21.970152,32.859216,71.957314,88.93568,64.278872,25.229098,69.902241,34.196045,62.574983,50.372404,53.965304,61.158788,58.180394,64.376987,37.645427,52.806379,44.361865,52.905739,34.403275,35.892276,44.894424,36.835934,36.138801,29.267861,25.703325,23.909843,27.783674,22.187206,49.315794,59.231394,29.352903,49.150197,45.989586,43.632146,46.898689,53.177526,57.964008,46.771505,47.845661,61.87493,46.788502,57.315762,64.016968,54.953322,50.755992,49.937118
Réunion,Country/Area,2022,100,67.171704,30.953365,39.37849,37.774608,37.842091,90.718084,35.211557,31.078239,28.908003,23.419187,24.907063,38.817573,34.686878,41.597251,25.813645,93.109524,81.725834,89.626782,77.4928,86.618145,88.217311,88.24819,85.947519,93.315967,100,96.119738,98.85819,21.012762,32.98186,28.129092,28.409493,35.09709,24.203502,17.139184,29.162612,19.074683,20.42022,16.784428,13.999917,22.844915,16.848262,13.497465,15.564989,21.065146,50.927288,49.390797
Rwanda,Country/Area,2022,100,28.007752,31.625944,65.23448,55.438552,58.271757,30.441927,46.770767,31.330195,52.302103,41.007401,44.888476,44.841718,40.703047,48.104829,26.623167,65.963154,57.697631,63.505561,47.183237,53.062377,55.552613,50.790252,51.538337,44.644512,50.991049,55.662256,47.719538,21.226662,40.984665,38.673507,28.585211,42.105357,36.639256,31.987422,39.538855,39.882761,42.244893,36.56174,34.343296,44.781752,36.816523,40.396716,43.336897,44.274633,50.599239,49.384175
Seychelles,Country/Area,2022,76.623286,63.895732,30.936809,35.029337,37.352556,32.738095,99.449297,34.847375,31.071142,29.980574,24.445647,25.650558,38.452428,34.304393,41.223406,38.59851,74.044122,63.209662,74.496652,53.453136,56.826024,67.419122,55.327827,49.183684,59.452518,59.574808,44.196107,63.751687,21.011863,35.246818,27.7893,28.408675,36.621974,29.987424,24.424561,33.242866,32.047703,35.57404,26.051084,27.333601,38.497079,26.582485,32.065946,36.928851,32.872779,50.944143,48.046515
Somalia,Country/Area,2022,9.155715,17.546798,32.133637,79.859198,67.932446,68.438697,22.500929,57.168441,32.222875,73.339329,69.298475,69.361834,53.941962,50.453711,57.176324,47.220119,46.638263,40.406533,45.70284,33.046235,37.190556,41.363678,38.589783,39.646533,30.776513,30.354859,30.198968,31.606622,21.947164,53.855906,47.622167,29.297533,56.918454,55.263244,52.333441,56.745835,57.381392,58.874239,54.334306,51.374682,61.488506,54.967694,58.342172,60.246929,60.403082,49.776038,48.225311
South Sudan,Country/Area,2022,6.308818,20.656598,31.355195,55.686081,46.894203,47.803777,46.660094,44.094242,31.751116,51.348535,47.788955,44.826518,47.798429,43.55245,51.416971,46.155378,45.69148,40.348579,43.785301,31.84775,36.895368,38.866953,40.374222,42.216714,31.635285,33.088235,32.845003,33.343101,21.369436,52.001183,36.032472,28.750547,54.754671,58.230524,54.572511,60.489065,58.637449,59.009876,57.034741,55.939016,64.594254,61.905173,60.139454,60.411273,63.956844,49.748835,47.005745
Uganda,Country/Area,2022,77.303704,19.91014,34.00948,77.369516,100,65.373563,24.454393,85.298744,34.199756,62.720259,49.299811,54.491945,59.557073,56.183054,63.102524,25.554438,59.842378,52.341753,57.780429,39.295149,44.206737,47.530117,40.675028,42.065844,32.232943,29.363811,31.157676,29.022094,21.985891,41.70555,73.768205,29.211616,42.820746,39.947856,35.63281,42.573314,46.126612,48.703317,42.285112,42.554242,53.262342,45.043604,49.805201,52.956458,52.008767,46.293438,47.332434
United Republic of Tanzania,Country/Area,2022,24.160534,21.970152,35.083937,76.012137,100,66.865079,23.466348,89.710882,35.743347,62.095881,51.525729,57.744734,69.71007,67.033813,73.255224,27.0698,65.354759,57.547918,62.997882,47.141266,53.598089,55.724557,48.990517,47.745029,45.973287,52.54156,45.384905,56.95384,22.406443,42.183081,77.198745,29.541331,43.101059,36.183639,30.826339,39.779292,39.707726,40.834473,37.224121,32.024605,41.006641,35.761547,39.475045,40.634171,44.518562,49.384174,49.431633
Zambia,Country/Area,2022,8.788532,22.455481,32.099338,71.785911,68.437902,64.0052,25.429509,54.937935,32.444081,59.493274,46.693296,50.991326,49.166823,45.615537,52.097743,30.088559,56.62507,48.433105,55.851571,37.136009,40.115104,46.797588,39.431019,38.32103,32.714552,31.985294,28.08981,33.908467,21.498559,44.334519,45.990742,28.826773,45.644391,42.266983,38.776478,44.138287,49.505684,53.167872,44.325728,44.073013,56.165706,44.77986,53.378458,58.193086,53.313112,50.755992,49.828958
Zimbabwe,Country/Area,2022,13.77804,25.48615,31.667429,60.933805,56.500318,54.93295,34.302523,49.275103,31.969591,53.247944,37.409025,38.754647,50.090479,45.960631,53.756579,38.969375,52.396106,44.199273,51.945353,31.103942,32.194226,40.885532,42.607321,40.621801,37.716315,47.762148,42.201994,50.11561,21.355691,44.086406,40.86716,28.708176,45.482938,47.132832,44.333505,48.93048,57.774383,61.827376,53.102896,57.616546,70.847224,59.704499,66.775878,72.064289,66.096001,50.56004,49.429425
Angola,Country/Area,2022,9.317891,20.216109,33.225291,76.851842,99.039586,68.315545,22.574198,74.870068,33.746557,65.788059,57.845953,62.701363,60.833759,57.927844,63.943541,34.662558,56.845986,48.904783,55.901693,40.356065,44.589389,49.593449,43.994086,44.436661,37.524833,40.617008,41.684291,40.060182,22.236458,47.752688,63.794872,29.476858,49.068579,44.391579,41.113792,46.110141,48.081511,51.068206,43.67471,41.578463,53.096846,43.031353,48.789281,52.648775,50.307575,50.912785,50.073974
Cameroon,Country/Area,2022,19.567963,23.679354,32.48228,69.562856,78.778975,62.34948,26.711705,63.063846,32.777329,59.841009,48.319485,51.1772,56.80191,53.115065,60.488822,36.106139,55.14353,48.970786,52.69232,37.27591,43.856885,44.041769,41.526461,43.790075,33.068505,37.94757,42.221168,36.466073,21.832255,46.917603,53.215421,29.12919,48.310597,44.947668,40.417533,47.822682,50.713847,51.382884,48.66563,45.141684,53.425246,50.6241,53.604491,53.679172,58.122865,50.763832,49.915045
Central African Republic,Country/Area,2022,2.91229,16.172578,31.306837,78.590118,46.346988,65.5104,24.360653,41.773618,31.639632,72.192575,66.023031,67.007435,43.309887,39.426276,46.160301,47.184229,43.780381,37.486316,43.432835,26.358965,28.988157,35.044138,38.569389,38.698206,32.569489,41.89578,38.750645,45.63307,21.310746,54.376941,33.946878,28.666554,55.228326,57.053075,54.535313,58.164754,64.588205,66.381452,61.414079,64.479726,74.790224,68.69971,72.622088,74.508604,73.397869,50.267465,46.655879
Chad,Country/Area,2022,4.586032,17.103672,32.101963,78.046474,68.679932,69.150246,22.088256,57.363057,32.422084,73.490787,69.448408,66.078067,55.670207,52.119044,59.112822,51.786142,41.185495,35.944106,40.102202,27.282312,31.483589,34.606033,36.606506,38.35336,27.765011,27.253836,26.862664,28.914405,21.944298,53.61833,47.803636,29.286229,56.527756,62.365704,59.405681,64.001365,63.556699,64.17745,61.40227,62.048722,70.784016,68.129869,66.944379,67.340156,69.492072,50.873587,49.980162
Congo,Country/Area,2022,5.700334,25.554729,31.225369,63.975788,45.091186,57.94335,30.784564,40.109542,31.396935,53.385492,44.997907,48.420074,41.861579,37.790234,44.813031,32.317736,58.816697,52.385218,56.02457,39.43505,46.215656,46.366549,44.218415,45.099413,37.664093,41.400256,44.407022,40.28902,21.135386,43.840334,32.561117,28.511382,44.71782,41.821057,36.550307,45.336611,47.767551,48.069264,46.18454,43.611935,51.126243,49.912761,51.202377,50.7826,56.548719,50.912785,49.920563
Democratic Republic of the Congo,Country/Area,2022,14.263913,18.417226,37.737696,80.397648,100,70.956486,21.100211,89.710882,36.911446,71.254462,68.191283,72.242875,93.803359,91.753348,99.056233,40.600382,53.013268,45.95076,51.874213,37.548717,42.476608,45.860138,42.184154,43.224312,35.128396,34.878517,34.493981,36.008396,24.864546,48.361752,77.198745,31.89119,50.388079,49.512527,46.50028,51.029787,51.122081,52.870826,47.874694,45.826545,55.845082,49.257733,51.490533,53.337045,54.482865,50.36405,49.938222
Equatorial Guinea,Country/Area,2022,19.507801,32.304497,31.010464,60.958044,39.580027,59.024357,29.682306,36.272307,31.173757,52.90639,45.862901,48.26518,39.545217,35.488619,42.297474,38.032243,55.550296,49.035179,53.832173,38.719223,45.029437,46.656264,40.629142,41.936527,33.068505,33.31202,34.762419,33.518096,21.061864,49.648196,29.065209,28.449559,49.60735,44.231536,39.847716,46.726319,49.207832,50.127509,46.00942,41.939894,50.585489,45.408658,50.500511,51.039311,53.588919,51.108776,52.743775
Gabon,Country/Area,2022,3.015612,34.533318,31.03416,58.082271,40.047328,54.070881,35.453267,36.686587,31.173525,48.174096,37.67429,41.016109,39.776613,35.76968,42.490375,32.445345,63.447166,55.360169,62.074682,44.01681,49.380727,53.640027,46.563679,47.173878,41.255846,46.707161,50.75367,45.323465,21.046827,41.382324,29.466051,28.437679,42.487582,37.102996,32.70933,39.600583,42.339305,44.844852,37.746362,35.809076,46.468419,37.032861,44.024064,47.072955,45.784254,50.991181,50.567319
Sao Tome and Principe,Country/Area,2022,77.427297,26.322288,30.946095,62.653036,37.580572,53.605638,36.10514,34.98762,31.080011,49.983866,41.030467,46.158612,38.482917,34.335397,41.255884,26.587277,68.882402,59.69542,67.861254,47.129608,51.553638,58.235414,51.809932,49.027426,51.334806,55.067136,53.05457,55.015444,21.013024,35.646516,27.919098,28.409527,37.01624,33.489701,28.137745,36.97714,38.189927,40.828422,33.671145,34.253993,44.361032,36.491897,40.969421,44.315241,43.040202,50.928464,47.196682
Algeria,Country/Area,2022,6.148278,51.279812,32.481883,52.450187,78.471046,48.747947,44.562248,62.019216,31.263992,38.544141,30.396806,32.83767,53.972772,50.416475,57.287317,20.569697,83.496171,75.470066,78.401254,67.487543,79.662094,74.296892,70.011216,73.533057,66.061577,73.225703,84.327628,66.40352,21.300352,37.025408,52.851049,28.622374,38.050521,28.225811,21.68122,32.690758,22.875612,22.949647,21.623511,17.987482,25.983363,21.776136,16.880913,16.804833,25.798671,50.56004,49.858757
Egypt,Country/Area,2022,36.43976,40.858423,34.635004,51.539497,100,47.96798,46.2819,89.710882,33.278436,40.91647,30.961936,33.643123,93.803359,91.753348,99.056233,28.788538,71.275658,62.617247,68.862061,50.466248,56.719428,59.808822,43.749363,42.346032,39.004473,37.228261,32.845003,38.996756,21.747909,36.811283,77.198745,28.945555,37.849374,27.792427,21.423385,32.078162,31.157717,33.713096,26.995084,20.865208,30.37101,22.902342,30.087377,33.540481,33.647532,49.776116,49.806884
