Region, subregion, country or area *,Type,Year,Population Density, as of 1 July (persons per square km)_transformed,Median Age, as of 1 July (years)_transformed,Natural Change, Births minus Deaths (thousands)_transformed,Rate of Natural Change (per 1,000 population)_transformed,Population Change (thousands)_transformed,Population Growth Rate (percentage)_transformed,Population Annual Doubling Time (years)_transformed,Births (thousands)_transformed,Births by women aged 15 to 19 (thousands)_transformed,Crude Birth Rate (births per 1,000 population)_transformed,Total Fertility Rate (live births per woman)_transformed,Net Reproduction Rate (surviving daughters per woman)_transformed,Total Deaths (thousands)_transformed,Male Deaths (thousands)_transformed,Female Deaths (thousands)_transformed,Crude Death Rate (deaths per 1,000 population)_transformed,Life Expectancy at Birth, both sexes (years)_transformed,Male Life Expectancy at Birth (years)_transformed,Female Life Expectancy at Birth (years)_transformed,Life Expectancy at Age 15, both sexes (years)_transformed,Male Life Expectancy at Age 15 (years)_transformed,Female Life Expectancy at Age 15 (years)_transformed,Life Expectancy at Age 65, both sexes (years)_transformed,Male Life Expectancy at Age 65 (years)_transformed,Female Life Expectancy at Age 65 (years)_transformed,Life Expectancy at Age 80, both sexes (years)_transformed,Male Life Expectancy at Age 80 (years)_transformed,Female Life Expectancy at Age 80 (years)_transformed,Infant Deaths, under age 1 (thousands)_transformed,Infant Mortality Rate (infant deaths per 1,000 live births)_transformed,Live Births Surviving to Age 1 (thousands)_transformed,Under-Five Deaths, under age 5 (thousands)_transformed
Benin,Country/Area,2022,38.702695,23.61605,31.692894,70.638025,57.748054,63.416804,25.872351,48.995733,31.729583,62.497709,54.224511,55.111524,48.366407,44.449851,51.65252,40.484736,53.383215,47.156516,51.269525,39.325461,45.909535,46.385393,44.147038,46.101622,36.399146,37.771739,38.788993,37.812181,21.501162,49.855863,40.455366,28.85958,52.021788,49.957883,45.967061,52.363141,50.248961,50.841483,48.292999,44.185749,52.624882,49.396824,49.067274,49.297475,53.998394,50.944143,50.088322
Burkina Faso,Country/Area,2022,27.080345,21.498011,32.200364,69.845067,70.01868,61.323207,27.567221,58.170017,32.480167,60.768304,51.571862,52.695167,54.144232,50.027913,58.11388,37.848805,53.053594,46.654252,50.99305,37.357519,42.815527,44.819051,38.013664,39.026887,29.447739,21.819054,21.148764,23.153062,21.714574,47.484863,48.770927,29.123935,51.326023,48.178598,43.595848,51.139464,49.914675,51.53052,47.082866,43.353528,52.476932,47.765028,49.739637,51.830759,53.050857,49.972107,48.888622
Cabo Verde,Country/Area,2022,48.107886,48.49972,30.949291,43.419462,37.628852,39.032567,81.669441,35.091882,31.084124,32.538362,19.440214,19.330855,38.645872,34.498518,41.431296,25.873462,79.275974,66.514626,79.296968,60.501817,62.593122,74.412307,64.790456,56.360795,68.156283,62.372123,45.49995,66.40352,21.013642,35.235602,28.015901,28.409965,36.634685,28.211702,22.728609,31.61465,28.159202,32.755496,21.762649,22.744565,34.594556,21.598782,26.093525,32.644463,26.939626,50.90275,47.770595
Côte d'Ivoire,Country/Area,2022,28.938495,24.209524,32.407329,67.00392,77.374843,60.84428,27.984204,62.593427,32.758823,58.511887,47.846621,49.442379,58.356929,55.213051,61.544331,38.570595,51.563288,46.224429,49.015689,33.729419,41.290389,39.349811,42.627715,43.930169,36.584826,47.202685,45.768388,50.290604,22.012614,50.658658,52.614682,29.22216,50.487537,48.670128,43.873182,51.849199,56.018195,54.790094,55.927319,52.08931,57.408523,61.646723,61.168815,57.725075,68.228228,51.187172,50.339961
Gambia,Country/Area,2022,87.411872,22.189077,31.082169,68.579449,41.113212,60.310619,28.462604,37.40897,31.165226,57.281676,50.660735,53.872367,39.926972,35.802397,42.786952,31.76742,58.558961,52.333704,55.583181,39.89206,47.043822,46.543205,43.15285,45.304165,35.406916,35.725703,37.581021,35.981474,21.057894,40.882361,30.127758,28.452648,43.411031,43.517257,38.549391,46.775509,46.231914,46.620449,44.704264,42.308503,50.182914,48.205885,47.864332,47.722301,53.537176,50.834388,48.882
Ghana,Country/Area,2022,48.087614,31.521113,32.319574,58.080539,74.092814,53.099343,36.839979,61.519092,32.200614,48.602197,38.216353,39.52912,58.752163,55.59616,61.984558,33.553951,60.380642,52.855286,58.470807,42.305353,48.178109,50.474368,46.823697,48.186864,40.368062,41.65601,42.50878,41.837045,21.547998,42.108647,52.072979,28.851641,43.119122,43.135177,39.413641,45.169339,44.440914,46.110244,41.424551,40.861089,50.550994,44.190286,45.115219,46.780563,49.167851,50.56004,49.774877
Guinea,Country/Area,2022,18.425869,24.465376,31.6405,65.854303,56.117337,59.256979,29.454959,48.630195,31.943386,59.0729,47.396824,46.437423,49.353528,44.950121,53.274953,42.666059,51.684265,46.155207,48.944549,38.556005,45.824805,44.607065,43.474049,45.697505,35.006543,36.732737,38.252116,36.573761,21.572661,53.095935,40.051903,28.903369,54.230171,51.523397,46.952353,54.522935,51.705567,51.555248,50.789908,44.973846,52.389598,51.691108,50.185638,49.387679,56.381326,50.79519,49.785914
Guinea-Bissau,Country/Area,2022,24.466575,26.034783,31.033738,62.441811,39.897567,56.041325,32.923354,36.700055,31.173547,54.059327,43.037254,43.959108,39.829246,35.692404,42.695766,37.589598,53.220158,46.200282,51.678579,35.830266,40.410292,43.655483,39.747119,40.848106,31.408987,33.647698,35.797824,33.558479,21.071996,48.39438,29.452671,28.4622,49.872499,46.635031,42.952986,48.720357,52.487224,54.700573,49.177065,46.880649,57.151904,50.205864,55.501104,58.03492,58.001516,50.897105,49.37093
Liberia,Country/Area,2022,17.984464,25.156443,31.187028,63.047784,43.827662,56.150794,32.792979,39.646195,31.452097,54.654341,44.08678,45.600991,42.050691,37.883713,45.12674,37.729171,55.392498,49.621154,52.427163,39.040995,46.901694,44.87087,41.806873,44.975484,32.343191,36.700767,41.415853,35.06612,21.187728,50.846612,32.080271,28.549178,50.306683,44.931279,40.282241,47.913345,49.387408,49.345298,48.180151,42.023707,49.524318,48.295645,50.375119,49.295004,56.527468,50.755992,49.065211
Mali,Country/Area,2022,6.03809,17.385901,32.483135,80.191618,76.788158,68.616585,22.396414,62.274686,33.009513,70.450806,65.434835,68.277571,54.620984,50.879353,58.198999,39.001277,52.441692,46.839381,49.904935,37.331871,44.245003,43.923999,37.723055,40.01832,28.588967,21.05179,21.723988,22.480008,21.937781,49.475537,52.363169,29.297395,52.552977,48.759627,43.772088,52.099143,50.238582,50.743302,48.262698,43.220736,51.119663,48.902545,49.614245,49.896004,54.221688,49.384135,48.153572
Mauritania,Country/Area,2022,1.48639,24.106655,31.193984,68.910137,44.472581,62.924193,26.2527,39.398505,31.281909,57.678867,47.846621,51.982652,41.113154,37.063121,43.981115,32.030614,61.688605,54.72268,58.983337,44.954147,52.33534,52.236208,41.037014,42.178997,34.049129,30.386829,30.639974,32.131604,21.138476,46.174967,31.895602,28.512361,46.702979,38.38334,33.407989,41.623694,40.388514,41.316507,38.363849,30.532435,38.938934,35.052374,38.13491,38.886311,44.135266,51.069577,50.803507
Niger,Country/Area,2022,6.748915,15.594931,33.003509,88.725445,93.170959,77.798303,17.991693,69.593019,33.541865,76.342219,75.607166,82.001239,54.857514,51.022065,58.561602,34.546912,57.110734,51.263172,54.058526,41.197803,48.861415,47.735037,39.833792,41.855703,31.258122,23.673274,23.890669,24.835697,21.893417,44.992865,59.216525,29.348524,49.625191,43.774067,37.987224,47.787133,45.462798,45.883521,43.60074,37.31708,44.8316,43.048919,44.053732,44.298251,49.331087,50.991181,50.146817
Nigeria,Country/Area,2022,78.440239,22.53461,42.144005,66.191917,100,59.544335,29.178048,89.710882,43.238915,63.332274,57.084758,51.672862,93.803359,91.753348,99.056233,52.878797,42.300595,39.155701,38.807135,30.609625,38.803157,34.898103,42.240237,46.758985,31.751335,35.917519,41.435027,33.962311,31.759202,55.795259,77.198745,38.466192,58.33496,63.294182,57.852671,67.313601,61.801484,59.649249,62.75466,60.074151,64.726651,71.0414,62.647455,58.971405,69.86659,48.60025,49.802469
Saint Helena,Country/Area,2022,4.48925,100,30.935287,6.197156,37.322867,12.568418,99.449297,34.801079,31.069265,18.298206,16.718366,15.613383,38.383988,34.227428,41.159344,74.863501,83.645202,73.177679,82.326874,66.20978,74.121853,78.447108,66.579994,63.7696,73.848545,71.067775,65.920432,79.635764,21.011526,35.138396,27.746402,28.408433,36.491741,26.380115,19.969969,30.812598,21.992436,23.507012,19.583118,16.248517,24.921594,19.693135,16.768634,18.709932,24.232225,50.951983,50.104877
Senegal,Country/Area,2022,29.391998,24.597259,31.909944,70.241546,62.47094,61.569513,27.357113,51.175906,31.698337,56.309562,47.52369,53.50062,46.090002,42.162258,49.209947,25.430817,67.337743,58.760113,65.051234,48.209178,54.256795,56.683205,45.243194,45.16946,39.18435,29.811381,28.473294,31.323939,21.230108,38.516459,42.786182,28.609813,40.73256,34.336233,29.371574,37.467933,35.7296,38.459255,32.062982,29.021476,38.980806,31.64175,34.4974,37.850817,38.719232,50.168059,48.831231
Sierra Leone,Country/Area,2022,39.205897,27.625291,31.334784,62.208079,47.870849,56.13711,32.809141,42.609958,31.549629,54.332879,42.472124,42.472119,44.529527,40.402511,47.754718,38.83379,54.184474,48.524865,51.297011,41.377343,49.252265,47.593713,40.068319,41.62401,31.937015,31.138107,31.196025,32.158526,21.358949,55.146429,34.682491,28.702483,55.189747,46.548953,41.350929,50.088433,47.637275,47.392225,46.666455,36.417724,43.337946,42.915844,44.156012,43.26322,50.827157,50.79519,49.591666
Togo,Country/Area,2022,53.178155,26.918399,31.3721,64.611194,48.991649,58.367542,30.342799,43.010594,31.441246,55.402358,46.162766,47.08798,44.208429,39.996032,47.506142,36.058286,56.24811,51.472449,52.160389,39.68454,48.81495,44.585866,42.163761,46.069293,32.261956,27.109974,31.54116,26.1145,21.240126,46.285088,35.151143,28.606679,47.545702,46.8022,40.356036,51.497019,47.134765,46.35533,46.733294,42.90554,48.697036,51.26469,46.919222,45.263775,54.013639,50.873587,49.855446
Kazakhstan,Country/Area,2022,2.333233,55.296965,31.370122,42.628235,49.052457,41.290367,68.599658,46.661642,31.218184,38.82542,32.911056,36.183395,54.223744,49.871647,58.469702,43.918226,70.100946,59.24789,69.570224,47.35345,49.183935,59.252947,43.795248,38.7467,40.565348,42.023657,32.058862,43.963896,21.075778,34.255049,38.767607,28.45274,35.742679,28.717911,23.7472,31.776824,34.276885,40.053306,27.321819,28.113675,41.212016,26.788235,36.136836,44.177618,35.363508,50.951983,50.104877
Kyrgyzstan,Country/Area,2022,11.287537,40.212197,31.179479,54.36333,43.338681,48.515326,45.062197,39.360608,31.165522,42.800423,31.746197,34.789343,41.558775,37.875456,44.041787,27.145568,71.845482,59.959431,72.69714,50.543194,51.578237,64.514912,48.847762,43.396735,48.978987,42.37532,32.116384,46.858028,21.049654,35.829711,31.965564,28.435005,36.924141,28.943653,24.213223,31.777237,33.213161,39.889081,25.167464,26.999404,41.192874,24.388549,33.83143,43.212557,31.846858,50.56004,48.441632
Tajikistan,Country/Area,2022,22.724824,34.390885,31.386046,61.257568,48.338549,53.290914,36.558757,42.440598,31.278893,46.971704,33.995182,36.895911,42.128919,38.354225,44.76146,22.029229,73.255136,64.742212,70.415817,54.688928,62.595856,63.294815,52.681758,53.327227,48.671454,51.054987,54.435109,50.223299,21.125311,39.327412,34.748287,28.490213,39.718572,30.391308,24.6167,34.173334,30.437576,32.165474,27.462739,22.899947,32.144412,25.617028,27.696409,29.751598,33.390205,50.168059,47.889792
Turkmenistan,Country/Area,2022,4.458515,46.17858,31.128674,48.861097,42.310895,45.36809,53.060301,38.733794,31.124427,38.826966,27.951756,28.841388,41.774445,37.917989,44.472913,29.566158,69.962436,59.473265,69.442496,52.203353,56.301245,63.290104,51.748751,49.458484,48.677257,47.890026,44.905551,47.907993,21.094187,42.556948,31.323526,28.468515,42.240942,32.904967,28.561771,35.346168,34.398296,38.913222,28.390474,26.314964,38.333576,25.997243,32.233135,38.200822,33.578542,50.79519,49.418389
Uzbekistan,Country/Area,2022,26.59905,48.064506,32.142486,52.7878,68.743085,48.529009,45.032028,57.692141,31.281181,41.4203,30.062342,32.094176,55.032987,51.664579,58.215952,27.21336,73.931911,64.48947,71.668847,53.299244,59.272258,62.998034,50.846334,49.011261,47.493545,47.985934,45.672517,47.598388,21.192616,35.581259,48.942823,28.534682,36.744848,28.541194,22.681212,32.356903,30.166969,32.855972,26.145885,23.491073,33.473368,25.318632,29.176688,32.684622,33.207874,50.168059,49.466951
China,Country/Area,2022,48.54831,78.848617,31.434351,24.613532,32.972952,26.758347,99.449297,89.710882,35.421309,18.409481,11.320803,8.240397,93.803359,91.753348,99.056233,32.732466,86.052485,75.647146,83.067374,68.494831,76.882408,78.918188,72.922402,70.429441,75.658929,81.841432,80.109313,81.237633,22.19803,33.366264,77.198745,29.335468,35.211489,26.049198,19.342406,30.588558,21.734371,22.868056,19.297044,17.20234,25.915769,19.965783,17.143499,18.730321,24.286431,38.74646,49.864275
"China, Hong Kong SAR",Country/Area,2022,100,97.08275,30.891778,19.564914,37.293579,26.717296,99.449297,36.035344,31.071396,15.41432,6.488369,2.478315,43.390602,39.466628,46.2936,36.632528,96.095397,84.969626,92.040683,80.624252,91.209958,90.827095,91.500969,89.18584,93.443622,100,96.119738,98.85819,21.012612,31.836806,28.900485,28.409631,34.113653,23.378489,16.113993,28.505235,16.797714,17.219074,15.73148,12.732586,20.946093,16.344116,10.718028,11.417144,20.286235,51.735907,53.056117
"China, Macao SAR",Country/Area,2022,100,77.746076,30.943907,34.348917,37.84108,44.547072,55.613919,35.004918,31.069592,22.273209,10.559608,7.713755,38.612816,34.474369,41.385436,20.278588,97.957404,86.577838,93.798158,83.303357,94.410561,93.35444,95.834608,93.695781,93.443622,100,96.119738,98.85819,21.011826,32.127743,27.936864,28.408675,34.300528,23.607224,16.50877,28.554976,16.278772,16.568954,15.269283,12.628294,20.624073,16.325105,9.771115,10.145636,19.671329,51.147974,58.071237
"China, Taiwan Province of China",Country/Area,2022,100,87.930075,30.950727,24.852459,39.11124,28.619321,99.449297,40.288303,31.093403,18.803582,10.824873,8.054523,52.739492,50.259742,54.724115,33.199038,90.751334,79.132411,88.234707,73.904338,81.777608,85.642858,85.337004,82.870844,90.670022,100,96.119738,98.85819,21.0225,32.437033,32.869321,28.416799,34.489411,25.114877,18.560201,29.52802,21.468521,23.60561,18.10518,17.70353,27.676809,19.133642,17.486892,20.563751,23.291618,51.8927,51.214075
Dem. People's Republic of Korea,Country/Area,2022,70.773856,72.014444,31.140244,30.742513,42.737523,31.793924,99.449297,44.831477,31.09063,26.93132,18.448354,17.317224,57.938428,52.358195,63.883405,40.60437,77.270197,67.614135,74.6648,59.142445,66.436033,68.568557,64.815948,65.353737,61.413766,70.716113,73.225788,65.111256,21.09812,35.978918,37.024315,28.475648,37.429462,31.889556,27.496233,34.314289,29.472559,31.59997,25.815475,25.970845,36.624976,26.913609,26.938321,29.538753,31.815905,50.873587,50.019894
Japan,Country/Area,2022,100,100,29.338103,13.802979,0,19.61549,99.449297,58.808736,31.149356,16.913446,12.820126,10.842627,93.803359,91.753348,99.056233,53.772063,96.980814,85.014701,93.55887,81.864708,91.363018,93.095346,96.069134,91.060941,93.443622,100,96.119738,98.85819,21.037201,31.939109,50.188468,28.430627,34.146657,24.056712,17.02819,28.919558,17.660889,17.843319,16.372138,14.175777,22.300571,17.557916,11.980306,12.289683,21.133982,54.871564,50.995547
Mongolia,Country/Area,2022,0.697419,48.26233,31.043264,50.242715,40.187192,46.969075,48.679284,36.847461,31.098834,38.350954,29.762477,32.589839,39.870166,35.993407,42.442016,25.155659,75.672939,62.95531,76.651863,54.987384,56.041589,69.49423,59.432038,52.971604,61.454384,72.842072,66.303916,73.309056,21.023062,34.370948,29.647382,28.417087,36.000469,28.413359,23.23903,31.574968,31.710174,37.976177,23.798252,25.780418,38.553507,24.260046,32.094958,40.774883,30.580242,50.918664,49.828958
Republic of Korea,Country/Area,2022,100,93.25287,30.815746,22.440687,35.814109,26.1289,99.449297,43.218884,31.093878,15.27368,7.849293,4.337051,65.82545,63.308977,68.881863,29.645914,95.585186,83.264824,92.37698,80.087965,88.498601,91.441854,90.053023,83.625195,93.443622,100,96.119738,98.85819,21.023792,32.146096,35.61116,28.417778,34.245001,23.556346,16.260835,28.657902,16.81231,17.367649,15.104969,12.916679,21.000927,16.238715,10.621648,11.510128,19.323607,52.127849,50.743908
Afghanistan,Country/Area,2022,20.695343,21.883109,33.400406,73.216006,100,63.307334,25.956395,77.433195,33.036709,61.063493,49.93414,54.089219,61.186629,59.677308,62.724575,30.84624,58.511622,49.572859,58.605003,39.500337,41.75777,50.764083,42.026104,42.426855,35.215434,33.695652,33.554447,34.648826,22.115613,45.235539,66.287488,29.279488,45.408009,42.872667,41.808702,42.19399,46.051906,50.068245,40.030832,41.574451,56.133005,38.41487,48.061681,53.560084,47.251681,48.370941,48.33899
Bangladesh,Country/Area,2022,100,47.72161,35.362265,45.422635,100,41.030378,69.89263,89.710882,37.393656,33.765482,20.259075,19.702602,93.803359,91.753348,99.056233,24.425893,77.480593,68.485048,74.448147,60.380569,68.893199,69.385881,62.185174,62.083086,61.019196,66.288363,67.396843,66.430442,22.155033,38.292819,77.198745,29.280686,39.25183,30.497624,24.083181,34.901533,27.715723,29.197416,25.097727,22.095594,30.817251,25.600183,23.483736,25.355536,29.944393,38.801455,48.108321
Bhutan,Country/Area,2022,6.647555,53.281794,30.945321,34.67441,37.610947,35.529557,100,35.08422,31.075983,25.809293,13.892719,11.679058,38.77521,34.656809,41.537829,28.652954,74.904993,66.965376,71.440876,56.747805,66.236508,64.651526,55.266646,56.684089,51.259374,50.799233,54.933638,49.684856,21.015253,38.389005,28.006521,28.411175,39.107994,30.146755,23.996636,34.220319,29.013728,29.572297,26.915545,21.978847,29.893463,25.954649,25.603431,25.919158,32.719553,50.963742,50.527587
India,Country/Area,2022,100,50.984394,52.552927,36.781464,100,36.200055,100,89.710882,41.489103,31.890801,20.962604,19.702602,93.803359,91.753348,99.056233,39.491776,67.041435,60.022214,63.731915,47.479361,55.022097,55.399511,47.797492,49.399213,41.621405,49.632353,52.862828,48.352208,32.38002,40.309324,77.198745,37.048957,40.850751,33.662998,27.587427,37.742816,38.197063,39.293424,35.544551,29.615135,39.204127,32.036644,38.722694,40.170948,43.213139,31.850602,49.725212
Iran (Islamic Republic of),Country/Area,2022,17.760165,62.969914,32.266839,36.603135,70.953853,35.912698,100,69.358885,31.963601,27.21569,17.15663,16.047088,82.092294,82.972492,82.538712,27.839444,78.984926,69.154734,76.777974,60.086777,67.020942,70.770857,59.518711,57.530039,59.794866,55.80243,52.095862,57.357673,21.238329,34.865813,59.806919,28.577756,36.347236,28.57896,23.048841,32.087393,25.532813,27.45865,22.138511,20.935721,31.166788,22.10365,22.035911,24.725343,27.378822,49.384135,49.606014
Maldives,Country/Area,2022,100,59.962983,30.947559,43.132058,37.195417,20.860701,99.449297,35.011991,31.070299,27.827705,17.12203,16.325898,38.493909,34.353469,41.259274,14.380642,90.00092,82.250636,83.877397,73.47764,87.823496,79.810885,76.445396,80.82332,73.831138,88.730818,96.119738,83.122185,21.012331,33.408749,27.942823,28.409009,35.198555,24.716979,17.394019,29.859258,18.044582,17.335096,17.532587,13.939538,21.231226,18.188399,11.796562,10.756831,22.078747,50.637966,33.349917
Nepal,Country/Area,2022,67.846198,40.787207,31.81179,47.725331,57.419474,42.562945,62.885804,52.972388,32.119343,37.915126,20.928004,20.508055,54.69488,51.027051,58.19436,29.829353,71.845482,63.806906,68.550016,52.800264,60.983255,60.571972,51.774243,53.090145,46.42008,46.53133,50.178445,44.906171,21.246138,38.278204,44.446188,28.581547,39.076774,31.701723,26.096814,35.487536,32.209764,33.476148,29.819841,25.579857,34.414304,29.369605,30.361272,31.663648,36.629508,48.521227,47.866615
Pakistan,Country/Area,2022,100,31.143927,41.047508,59.321918,100,53.537219,36.20319,89.710882,36.376564,48.838657,37.097627,38.816605,93.803359,91.753348,99.056233,31.304836,64.73935,56.604562,62.97848,49.631505,56.314911,58.602857,47.343734,47.497171,42.613634,39.769821,40.207881,40.840924,27.234071,48.970476,77.198745,33.026358,47.593647,37.354675,32.672282,40.194303,37.6512,39.627927,34.14671,27.127129,36.762757,29.577761,33.487053,35.904787,37.871485,44.445559,49.327887
Sri Lanka,Country/Area,2022,100,63.708458,31.236577,35.57125,41.016766,30.877121,99.449297,43.681464,31.210687,28.04871,20.535873,20.755886,51.162569,48.085103,53.707685,32.365589,82.586208,70.63738,81.267862,63.544665,67.936572,75.992781,66.916488,60.278032,71.022723,75.143862,64.3865,76.566637,21.042426,33.225894,36.020444,28.431145,35.074344,26.546286,20.366996,30.718628,24.553417,27.613067,20.408922,20.40603,31.021031,21.496991,21.725955,26.0869,26.066932,47.914321,46.194541
Brunei Darussalam,Country/Area,2022,25.449436,62.56899,30.943082,38.286008,37.533436,37.869458,90.488581,34.978425,31.070879,27.603609,18.11389,17.007435,38.571896,34.436043,41.338326,24.964245,78.976159,70.086821,75.707644,59.669406,68.188028,68.738146,60.217192,59.119565,59.394493,61.716752,61.39533,61.544069,21.012575,34.528992,27.91107,28.409205,36.114645,27.658179,21.191798,32.007753,26.422043,27.061545,24.38789,20.860775,29.126597,24.411891,23.770252,24.453186,30.900708,50.951983,50.104877
Cambodia,Country/Area,2022,30.268268,48.088245,31.369,45.422635,47.306644,41.071429,69.685754,44.181029,31.422792,36.066718,24.549446,24.845105,47.512394,43.669611,50.646618,30.363717,70.81454,61.406661,68.967153,51.944536,57.826383,61.353965,54.517182,54.13546,49.895784,52.014066,51.635682,51.017503,21.134338,38.364533,36.36487,28.498764,39.084356,34.347491,30.586053,36.317145,34.164664,36.668425,30.077063,29.575023,40.504768,30.616614,32.902711,35.78678,36.84541,49.776116,48.132602
Indonesia,Country/Area,2022,47.123063,55.550181,34.795106,35.765161,100,35.625342,100,89.710882,34.868362,31.781071,22.600326,22.366791,93.803359,91.753348,99.056233,41.549477,67.928606,59.899867,65.434418,46.749543,53.127974,55.408933,44.085857,42.577725,39.967689,36.540921,33.401053,38.337163,22.494141,37.393497,77.198745,29.511785,38.390822,31.900387,25.927924,35.868928,36.192432,37.524296,33.445672,29.010498,37.38267,33.107021,37.153084,38.537234,42.157036,48.992192,49.905111
Lao People's Democratic Republic,Country/Area,2022,10.650606,40.911176,31.179295,50.756926,43.333075,45.915435,51.479644,39.564565,31.339633,39.916537,26.002636,26.332094,42.121056,38.201854,44.918672,28.010919,69.241829,61.121722,66.609841,51.762665,59.734172,59.752292,51.126746,52.411229,45.729582,45.84399,49.449827,44.327345,21.104131,41.753473,32.087141,28.480845,42.26904,34.231913,29.157686,37.383884,34.462515,35.927845,31.616158,26.882445,35.690022,30.303538,31.799754,33.153406,37.569653,50.56004,48.640295
Malaysia,Country/Area,2022,33.758635,57.380716,31.623866,40.902079,58.700102,41.892447,65.775594,49.806641,31.194405,29.957392,18.379155,17.71995,53.185915,50.883716,55.002313,25.012098,81.972552,72.414624,78.954204,62.782204,71.071577,72.631624,65.402264,65.973382,63.816006,75.015985,80.301054,71.734109,21.067913,33.37612,41.722005,28.449352,35.175363,26.011432,19.648838,30.242578,24.857864,26.908588,21.250323,19.194011,28.956714,20.675438,22.146223,24.976648,27.216819,52.872575,51.699694
Myanmar,Country/Area,2022,27.10029,54.685029,31.864485,38.324098,60.386422,37.007389,98.325064,61.683383,31.840455,32.765549,22.300461,21.282528,76.41797,74.803029,79.275465,38.195743,66.185824,56.678614,65.500708,48.435351,53.06511,58.793644,49.474865,49.081308,44.68513,43.98977,45.116466,43.048542,21.571519,42.49475,52.20046,28.850592,42.957669,36.820391,33.502334,38.278941,38.043218,41.64548,32.686485,31.347977,43.149519,31.298113,36.685938,41.184045,38.545371,49.580126,49.3919
Philippines,Country/Area,2022,100,42.625654,34.869917,52.116036,100,47.96798,46.2819,89.710882,33.739882,40.160724,29.197348,30.452292,90.024087,87.493616,95.001221,25.510572,74.831354,66.398719,71.476446,56.862058,65.586001,64.821115,55.633731,56.015949,51.474067,51.934143,53.859884,49.994461,22.021229,38.704413,77.198745,29.145334,39.34839,30.374349,24.43191,34.276674,29.13622,30.074363,26.868534,22.051259,30.277095,25.830237,25.613266,26.456367,32.562323,48.208268,49.436048
Singapore,Country/Area,2022,100,88.998327,30.962081,27.979278,39.589924,35.885331,100,36.047426,31.07244,17.723283,9.706147,6.753408,40.763574,36.839082,43.460409,23.209616,95.776296,85.335055,91.073829,80.171905,91.816733,89.369102,91.184868,90.058732,93.443622,100,96.119738,98.85819,21.012837,31.930952,28.911493,28.409527,34.112984,23.366518,16.063596,28.464037,17.154379,17.074777,16.012763,12.844477,20.658967,16.458902,11.285324,11.215884,20.710339,52.010255,55.102339
Thailand,Country/Area,2022,45.8698,82.208994,31.135922,26.611511,43.821999,28.988779,99.449297,53.40211,31.733811,20.359891,12.958525,10.718711,81.43662,82.720098,81.369532,33.163148,87.968844,74.858334,87.248451,71.243886,75.821917,85.157645,89.798103,85.419473,93.443622,100,96.119738,98.85819,21.095667,33.779897,45.052528,28.469909,35.487342,28.199018,23.22463,31.185585,26.083649,29.805071,21.095255,23.080451,35.295622,22.190041,23.676659,28.9342,26.736198,51.696709,50.397353
Timor-Leste,Country/Area,2022,29.476682,31.652996,30.986919,55.623753,38.429881,46.517515,49.842958,35.77457,31.096008,44.78638,32.911056,34.29368,39.080902,34.956722,41.874021,29.366769,69.341767,61.918584,66.045573,51.790645,60.688067,59.090424,51.085959,52.901557,45.172541,45.636189,50.197619,43.910051,21.030628,41.853397,28.633248,28.422894,42.122306,34.091679,28.412229,37.815567,34.355159,34.976297,32.252695,26.702363,34.689467,31.121722,31.723044,31.986931,38.333164,50.755992,45.999189
Viet Nam,Country/Area,2022,100,62.840668,32.572204,37.932812,76.748058,36.432677,100,77.318559,32.314418,29.452016,20.155276,18.959108,92.209907,91.753348,93.214438,30.547155,79.027005,65.930261,79.748058,61.898496,64.361517,75.969226,69.246457,62.325556,73.448172,81.106138,66.725747,82.408747,21.416984,36.461887,67.00288,28.730969,37.912929,31.719252,28.461427,33.032743,28.507326,32.762069,22.567176,24.759037,37.431322,23.146835,25.149726,30.736275,27.373125,47.710295,49.175579
Armenia,Country/Area,2022,31.923372,69.073455,30.934339,24.014485,37.010647,24.117406,99.449297,35.759304,31.084261,24.832543,15.934105,14.343247,41.028748,36.951102,43.921871,50.685511,76.909017,62.612418,78.385086,56.25582,54.664045,71.972111,55.552157,42.680101,62.289945,64.194373,36.468919,69.822635,21.016451,34.104482,28.637165,28.411855,35.637199,26.087392,20.325149,29.989465,28.446567,36.024252,21.43636,20.638891,33.776445,20.236987,27.428415,38.360996,27.352489,50.755992,48.121565
Azerbaijan,Country/Area,2022,40.956802,61.593056,31.056147,33.845094,40.582587,34.352764,100,38.444464,31.210887,25.205006,16.914431,14.869888,43.730795,39.766696,46.706525,29.003879,77.1124,66.93318,74.831332,58.545534,64.435314,68.766411,58.840624,56.781077,56.731141,58.359974,57.771414,56.563469,21.049654,36.944856,31.107601,28.435582,37.805666,29.553897,24.188924,32.928025,27.663504,30.483153,23.752467,22.320433,33.122236,23.178359,24.526373,28.471749,28.999321,50.951983,50.104877
Bahrain,Country/Area,2022,100,65.225112,30.963431,39.871925,38.081966,39.114669,81.110231,35.296783,31.072956,24.452352,18.494487,18.30855,38.668739,34.56333,41.40792,13.180316,87.207911,79.315931,81.699551,69.628029,82.616707,76.560432,69.633935,71.846543,68.03443,70.332481,74.913115,68.301533,21.01323,33.198023,28.208294,28.409712,35.066761,24.453756,17.19228,29.511073,18.949596,17.989286,18.725787,13.951782,21.145487,18.450458,13.267006,11.851483,23.784867,50.951983,50.104877
